ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE
5000027,F,N,N,0,259000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-20805,-5840,1,0,1,0,Medicine staff
5000028,F,Y,Y,0,73000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-10950,0,1,1,1,0,High skill tech staff
5000029,M,N,Y,0,208000.0,Working,Secondary / secondary special,Married,House / apartment,-22265,-4745,1,0,1,0,Realty agents
5000030,F,Y,Y,0,208000.0,Working,Incomplete higher,Married,House / apartment,-20440,-8395,1,1,1,0,Laborers
5000031,M,N,Y,0,333000.0,Working,Secondary / secondary special,Married,House / apartment,-17885,-8760,1,0,0,0,Secretaries
5000032,M,Y,Y,1,109000.0,Pensioner,Higher education,Married,House / apartment,-12410,365243,1,1,0,1,
5000033,F,Y,N,0,190000.0,Working,Higher education,Widow,House / apartment,-8760,-365,1,0,1,0,Low-skill Laborers
5000034,F,Y,Y,0,417000.0,Working,Secondary / secondary special,Married,House / apartment,-23360,-13140,1,0,0,0,Sales staff
5000035,F,N,Y,0,98000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22630,-14235,1,1,0,0,Core staff
5000036,M,Y,Y,0,62000.0,Working,Higher education,Married,House / apartment,-20440,-13870,1,1,0,0,Sales staff
5000037,M,N,Y,3,52000.0,Working,Secondary / secondary special,Married,House / apartment,-23725,-11315,1,0,0,0,Cooking staff
5000038,F,Y,Y,0,190000.0,Pensioner,Higher education,Married,House / apartment,-12045,365243,1,0,1,0,
5000039,F,Y,Y,0,52000.0,Working,Secondary / secondary special,Married,House / apartment,-13870,-1095,1,0,0,0,HR staff
5000040,M,N,N,0,111000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19345,-4745,1,0,1,0,Low-skill Laborers
5000041,F,N,Y,2,166000.0,Pensioner,Higher education,Civil marriage,House / apartment,-14965,365243,1,0,0,0,
5000042,M,Y,Y,0,146000.0,Working,Secondary / secondary special,Married,House / apartment,-13140,-6570,1,0,0,0,IT staff
5000043,F,N,Y,0,165000.0,Working,Secondary / secondary special,Separated,House / apartment,-12775,-4745,1,0,0,0,Private service staff
5000044,M,N,N,1,149000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9125,0,1,0,0,0,Private service staff
5000045,F,N,N,1,253000.0,Working,Secondary / secondary special,Married,House / apartment,-9490,-1825,1,0,0,0,Laborers
5000046,M,Y,Y,0,83000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21170,365243,1,0,0,0,
5000047,F,Y,N,0,95000.0,Pensioner,Higher education,Married,House / apartment,-8395,365243,1,0,0,0,
5000048,F,N,Y,0,91000.0,Working,Secondary / secondary special,Widow,House / apartment,-11680,0,1,0,0,0,Medicine staff
5000049,M,Y,Y,0,202000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20440,-6570,1,0,0,0,Realty agents
5000050,F,N,Y,0,209000.0,State servant,Secondary / secondary special,Married,House / apartment,-19345,-1095,1,0,0,0,Accountants
5000051,F,N,Y,0,167000.0,State servant,Secondary / secondary special,Married,House / apartment,-20440,-3650,1,0,0,0,Cooking staff
5000052,F,N,Y,0,241000.0,Working,Secondary / secondary special,Married,House / apartment,-19345,-7665,1,1,0,0,Realty agents
5000053,F,N,N,0,74000.0,Working,Higher education,Widow,House / apartment,-18615,-1095,1,0,1,0,Security staff
5000054,F,N,N,0,307000.0,Working,Higher education,Married,House / apartment,-14965,-5840,1,1,0,0,Managers
5000055,F,N,Y,2,285000.0,State servant,Secondary / secondary special,Married,House / apartment,-17155,-2555,1,0,1,0,Accountants
5000056,M,N,Y,0,192000.0,Working,Secondary / secondary special,Married,House / apartment,-17155,-4745,1,0,1,0,Accountants
5000057,M,N,Y,0,325000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-10220,-3650,1,0,0,0,Medicine staff
5000058,M,N,Y,0,58000.0,Working,Secondary / secondary special,Married,House / apartment,-20805,-12045,1,0,1,1,Medicine staff
5000059,M,N,Y,2,103000.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-3650,1,0,0,0,HR staff
5000060,M,N,Y,0,92000.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-3650,1,0,1,0,Private service staff
5000061,M,N,Y,0,191000.0,Student,Secondary / secondary special,Single / not married,House / apartment,-8030,-1460,1,0,1,0,Secretaries
5000062,F,N,N,0,79000.0,Working,Secondary / secondary special,Married,House / apartment,-11680,-1460,1,0,0,0,Medicine staff
5000063,M,N,Y,0,195000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15330,-4745,1,0,0,0,Cooking staff
5000064,M,N,Y,0,264000.0,Working,Incomplete higher,Married,House / apartment,-13505,-3285,1,0,0,0,Sales staff
5000065,F,N,N,0,189000.0,Working,Secondary / secondary special,Single / not married,With parents,-9855,-3285,1,0,0,0,HR staff
5000066,M,Y,Y,0,154000.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-9490,1,1,0,0,Secretaries
5000067,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-8760,-2190,1,0,0,0,Managers
5000068,M,N,Y,0,87000.0,Working,Secondary / secondary special,Married,House / apartment,-20805,-2555,1,0,0,0,HR staff
5000069,F,Y,Y,0,249000.0,Working,Higher education,Civil marriage,House / apartment,-21170,-2555,1,0,0,0,Security staff
5000070,F,Y,N,1,197000.0,Working,Secondary / secondary special,Separated,House / apartment,-18980,-12045,1,1,1,0,Cleaning staff
5000071,M,Y,Y,0,131000.0,Working,Secondary / secondary special,Married,House / apartment,-11315,-3650,1,0,1,1,Drivers
5000072,M,Y,Y,0,108000.0,State servant,Secondary / secondary special,Married,House / apartment,-7665,-730,1,0,0,0,Cleaning staff
5000073,F,Y,N,0,48000.0,State servant,Higher education,Married,House / apartment,-16425,-5475,1,0,0,0,Low-skill Laborers
5000074,F,N,N,0,78000.0,Working,Secondary / secondary special,Married,Rented apartment,-22630,-14600,1,0,0,1,Secretaries
5000075,F,N,N,1,347000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16060,-4380,1,0,0,0,High skill tech staff
5000076,F,N,Y,2,70000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22995,365243,1,0,1,0,
5000077,M,N,Y,0,146000.0,Working,Secondary / secondary special,Married,House / apartment,-13505,-4015,1,1,0,0,HR staff
5000078,M,Y,N,0,221000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-10220,365243,1,0,0,0,
5000079,M,N,N,2,71000.0,State servant,Secondary / secondary special,Married,House / apartment,-23725,-9490,1,0,1,0,Secretaries
5000080,F,N,Y,1,146000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17155,-7665,1,0,1,0,Cleaning staff
5000081,F,Y,Y,1,213000.0,Working,Higher education,Married,House / apartment,-13870,-5840,1,0,0,0,Core staff
5000082,M,N,Y,0,134000.0,State servant,Secondary / secondary special,Married,Rented apartment,-17155,-9490,1,0,0,1,Core staff
5000083,M,N,N,0,559000.0,Working,Secondary / secondary special,Married,House / apartment,-15330,-365,1,0,0,0,Private service staff
5000084,M,N,Y,1,58000.0,Working,Secondary / secondary special,Married,House / apartment,-13140,-4380,1,0,0,0,HR staff
5000085,M,N,Y,0,226000.0,Working,Incomplete higher,Married,House / apartment,-8030,0,1,0,1,0,Core staff
5000086,F,N,Y,0,122000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9125,-365,1,0,0,0,Realty agents
5000087,F,Y,Y,0,196000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13870,-6570,1,0,0,0,Waiters/barmen staff
5000088,F,N,N,0,166000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8395,-730,1,0,1,0,HR staff
5000089,F,Y,Y,0,92000.0,State servant,Secondary / secondary special,Married,House / apartment,-17155,-1460,1,0,1,0,Drivers
5000090,M,N,N,0,149000.0,Working,Secondary / secondary special,Married,House / apartment,-13505,0,1,0,1,0,Security staff
5000091,F,N,N,2,53000.0,Working,Secondary / secondary special,Married,House / apartment,-13140,-4380,1,0,0,0,Realty agents
5000092,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-9490,-2555,1,0,0,0,Low-skill Laborers
5000093,F,N,Y,1,155000.0,Working,Incomplete higher,Single / not married,House / apartment,-9855,-1825,1,0,0,0,HR staff
5000094,F,Y,Y,0,183000.0,Working,Secondary / secondary special,Widow,House / apartment,-12410,-5840,1,0,0,0,Cooking staff
5000095,F,Y,N,0,226000.0,State servant,Secondary / secondary special,Separated,House / apartment,-21170,0,1,0,0,0,Managers
5000096,F,Y,Y,2,160000.0,Pensioner,Higher education,Married,House / apartment,-21900,365243,1,1,0,0,
5000097,F,Y,Y,0,143000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12775,-730,1,0,0,0,HR staff
5000098,M,N,N,0,86000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19345,-9125,1,0,1,0,Cleaning staff
5000099,M,N,Y,0,93000.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-10950,1,0,0,0,Accountants
5000100,M,Y,N,0,241000.0,Working,Secondary / secondary special,Married,House / apartment,-17155,-2555,1,0,1,0,Realty agents
5000101,F,N,Y,1,273000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17885,-3650,1,1,0,0,Low-skill Laborers
5000102,M,N,Y,2,118000.0,Working,Secondary / secondary special,Married,House / apartment,-20805,-2555,1,0,1,0,Managers
5000103,F,N,Y,0,136000.0,State servant,Secondary / secondary special,Married,House / apartment,-9125,-1460,1,0,0,0,Waiters/barmen staff
5000104,F,N,N,0,85000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17885,-730,1,0,1,0,Security staff
5000105,M,Y,Y,0,240000.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-9855,1,1,0,0,Security staff
5000106,F,N,N,1,186000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9490,365243,1,0,0,0,
5000107,F,N,N,0,352000.0,Working,Higher education,Separated,House / apartment,-8030,-730,1,1,1,0,Security staff
5000108,M,N,Y,0,86000.0,Working,Secondary / secondary special,Married,House / apartment,-9490,-1095,1,0,0,0,Private service staff
5000109,M,Y,N,0,110000.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-5475,1,0,0,1,Core staff
5000110,M,N,Y,0,150000.0,Working,Higher education,Married,House / apartment,-8760,-1460,1,0,1,0,Cooking staff
5000111,M,Y,Y,0,184000.0,Pensioner,Higher education,Married,House / apartment,-17885,365243,1,1,1,0,
5000112,F,Y,Y,1,120000.0,Working,Secondary / secondary special,Married,House / apartment,-16425,-6935,1,1,0,0,Drivers
5000113,F,N,N,0,86000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10585,365243,1,0,0,0,
5000114,F,N,Y,0,207000.0,Commercial associate,Higher education,Married,House / apartment,-8395,-730,1,0,0,0,Medicine staff
5000115,F,N,Y,1,191000.0,Working,Higher education,Married,House / apartment,-16790,-1460,1,0,0,0,Waiters/barmen staff
5000116,F,Y,Y,1,84000.0,Pensioner,Incomplete higher,Married,House / apartment,-22995,365243,1,0,1,0,
5000117,M,N,Y,0,262000.0,Working,Higher education,Married,House / apartment,-17155,-8030,1,0,0,0,Accountants
5000118,F,Y,Y,0,239000.0,Working,Secondary / secondary special,Married,House / apartment,-20440,-13140,1,0,0,0,Accountants
5000119,F,Y,N,0,143000.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-6935,1,0,1,0,Cooking staff
5000120,F,N,N,0,139000.0,Working,Secondary / secondary special,Widow,House / apartment,-7665,-1095,1,0,0,0,Sales staff
5000121,F,N,Y,0,176000.0,Working,Secondary / secondary special,Married,House / apartment,-13140,-1095,1,0,0,0,Waiters/barmen staff
5000122,M,N,N,0,87000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11315,-365,1,0,0,0,Realty agents
5000123,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-9125,1,1,0,0,IT staff
5000124,M,N,N,1,45000.0,Working,Secondary / secondary special,Married,Municipal apartment,-21900,-12045,1,0,0,0,Private service staff
5000125,F,N,Y,0,207000.0,State servant,Higher education,Widow,House / apartment,-7665,-730,1,0,0,0,Waiters/barmen staff
5000126,F,Y,Y,0,61000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16790,-5840,1,0,0,0,Low-skill Laborers
5000127,F,N,Y,0,283000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17520,365243,1,0,0,0,
5000128,M,N,N,2,113000.0,Working,Secondary / secondary special,Married,House / apartment,-10585,-1460,1,0,0,0,Waiters/barmen staff
5000129,F,Y,Y,1,120000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23360,-8760,1,0,0,0,Cooking staff
5000130,F,N,Y,1,97000.0,Pensioner,Higher education,Single / not married,Rented apartment,-15330,365243,1,0,0,0,
5000131,M,N,Y,1,115000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10220,-365,1,1,0,0,Core staff
5000132,M,Y,Y,2,271000.0,Commercial associate,Lower secondary,Married,House / apartment,-22630,-2555,1,0,0,1,Cleaning staff
5000133,M,Y,Y,0,38000.0,Working,Secondary / secondary special,Married,House / apartment,-17155,-9490,1,0,0,0,Realty agents
5000134,F,N,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,-21535,-5110,1,1,0,0,Core staff
5000135,M,Y,N,0,158000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14235,-4380,1,0,0,0,Accountants
5000136,F,N,Y,1,73000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16425,-4380,1,0,1,0,IT staff
5000137,F,N,N,1,78000.0,Pensioner,Higher education,Married,Rented apartment,-21170,365243,1,1,0,0,
5000138,M,N,Y,0,308000.0,Working,Secondary / secondary special,Married,House / apartment,-14965,-5475,1,0,1,0,Low-skill Laborers
5000139,F,N,N,0,83000.0,State servant,Higher education,Single / not married,With parents,-16060,-7665,1,0,1,0,Drivers
5000140,F,N,N,0,75000.0,State servant,Secondary / secondary special,Married,House / apartment,-16060,-6935,1,1,0,0,IT staff
5000141,M,Y,Y,2,235000.0,Working,Higher education,Married,House / apartment,-14235,-4380,1,0,0,0,HR staff
5000142,F,N,N,0,158000.0,Working,Secondary / secondary special,Married,House / apartment,-8030,-1095,1,1,1,0,Secretaries
5000143,M,N,Y,0,83000.0,Pensioner,Higher education,Married,House / apartment,-12410,365243,1,0,0,0,
5000144,M,Y,Y,0,148000.0,State servant,Secondary / secondary special,Married,House / apartment,-18980,-365,1,0,1,0,Medicine staff
5000145,M,N,N,0,80000.0,Working,Secondary / secondary special,Widow,House / apartment,-22630,-12410,1,0,0,0,Secretaries
5000146,F,N,Y,1,231000.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-6570,1,1,0,0,Laborers
5000147,F,N,Y,0,227000.0,Working,Higher education,Married,House / apartment,-17520,-4380,1,0,0,0,Realty agents
5000148,M,N,Y,1,174000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21535,-13140,1,0,0,0,Secretaries
5000149,M,N,N,0,160000.0,Working,Secondary / secondary special,Married,Municipal apartment,-21900,-1825,1,0,0,0,Waiters/barmen staff
5000150,F,N,Y,0,321000.0,Commercial associate,Higher education,Married,House / apartment,-22630,-4745,1,0,0,0,Waiters/barmen staff
5000151,M,N,Y,0,133000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-21900,-1095,1,1,1,1,Security staff
5000152,M,N,N,1,74000.0,Working,Secondary / secondary special,Married,House / apartment,-12045,-1825,1,1,1,1,Core staff
5000153,F,N,N,0,167000.0,Working,Secondary / secondary special,Married,House / apartment,-11680,-730,1,0,0,0,High skill tech staff
5000154,F,N,Y,0,378000.0,Working,Secondary / secondary special,Married,House / apartment,-10220,-2190,1,1,1,0,Realty agents
5000155,M,N,Y,0,80000.0,Working,Higher education,Married,House / apartment,-12775,-2190,1,0,1,1,Drivers
5000156,F,Y,Y,2,111000.0,Working,Higher education,Married,House / apartment,-16790,-1095,1,0,1,0,Drivers
5000157,F,N,Y,0,164000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11680,-365,1,0,0,0,Secretaries
5000158,M,N,Y,1,130000.0,Working,Lower secondary,Married,House / apartment,-22995,-9490,1,0,1,0,Secretaries
5000159,F,Y,N,0,82000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17155,-2190,1,0,0,0,Cleaning staff
5000160,M,N,Y,0,233000.0,State servant,Secondary / secondary special,Married,House / apartment,-13870,-730,1,0,0,0,Drivers
5000161,F,Y,Y,0,425000.0,Working,Secondary / secondary special,Married,House / apartment,-23725,-16790,1,0,1,0,Laborers
5000162,F,Y,Y,0,147000.0,Working,Secondary / secondary special,Married,House / apartment,-20440,-11680,1,0,0,0,Cleaning staff
5000163,F,N,N,0,85000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17155,-365,1,0,0,0,Cleaning staff
5000164,M,Y,Y,0,61000.0,State servant,Higher education,Married,House / apartment,-10585,-3285,1,1,1,0,High skill tech staff
5000165,F,N,N,0,152000.0,Working,Higher education,Married,Municipal apartment,-21535,-5475,1,0,0,0,Medicine staff
5000166,M,N,Y,2,231000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7665,0,1,0,1,0,Core staff
5000167,M,N,Y,0,169000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9855,-2555,1,0,1,0,Secretaries
5000168,M,Y,Y,1,133000.0,Commercial associate,Higher education,Married,House / apartment,-16790,-5110,1,0,0,0,Cooking staff
5000169,F,Y,Y,0,99000.0,Working,Higher education,Married,House / apartment,-9855,-1825,1,0,0,0,Secretaries
5000170,F,N,Y,0,77000.0,Commercial associate,Higher education,Married,House / apartment,-9855,-1825,1,0,1,0,Medicine staff
5000171,M,N,Y,0,202000.0,Working,Secondary / secondary special,Married,House / apartment,-10220,0,1,0,0,0,HR staff
5000172,F,N,Y,0,210000.0,Commercial associate,Higher education,Married,Rented apartment,-13140,-6205,1,0,1,0,Waiters/barmen staff
5000173,M,Y,N,0,62000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-8395,-1095,1,0,1,0,Secretaries
5000174,F,N,Y,0,295000.0,Working,Secondary / secondary special,Married,House / apartment,-23725,-5840,1,0,0,0,Low-skill Laborers
5000175,M,N,N,0,178000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10950,365243,1,0,0,0,
5000176,F,N,Y,0,268000.0,Working,Secondary / secondary special,Married,House / apartment,-9855,-2555,1,0,1,0,Cooking staff
5000177,M,Y,Y,1,68000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14965,365243,1,0,0,0,
5000178,F,N,Y,1,67000.0,Working,Secondary / secondary special,Married,House / apartment,-20805,-13870,1,1,0,0,Laborers
5000179,M,N,Y,0,124000.0,Working,Secondary / secondary special,Married,House / apartment,-18615,-11315,1,1,1,0,High skill tech staff
5000180,M,N,Y,0,171000.0,Working,Higher education,Married,House / apartment,-15695,-4015,1,0,1,0,Medicine staff
5000181,M,Y,Y,0,327000.0,State servant,Secondary / secondary special,Married,House / apartment,-17155,-2920,1,0,0,0,IT staff
5000182,F,N,Y,0,190000.0,Working,Secondary / secondary special,Married,House / apartment,-15330,-4745,1,0,0,0,IT staff
5000183,F,N,Y,0,118000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21535,-11680,1,0,0,1,Realty agents
5000184,M,Y,Y,0,80000.0,Working,Incomplete higher,Married,House / apartment,-17155,-3285,1,0,1,0,HR staff
5000185,F,N,N,0,246000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8760,-2190,1,1,1,0,Low-skill Laborers
5000186,F,N,N,0,82000.0,Working,Secondary / secondary special,Married,House / apartment,-16060,-5840,1,0,1,0,Managers
5000187,F,Y,N,0,301000.0,Working,Secondary / secondary special,Married,House / apartment,-15695,-5840,1,1,0,0,Managers
5000188,F,Y,N,1,116000.0,Working,Higher education,Married,House / apartment,-14235,-5840,1,0,1,0,Waiters/barmen staff
5000189,M,N,Y,1,295000.0,Working,Lower secondary,Married,House / apartment,-22630,-12775,1,0,1,0,Drivers
5000190,M,Y,Y,0,187000.0,Working,Secondary / secondary special,Married,House / apartment,-8395,0,1,0,0,0,HR staff
5000191,F,N,N,2,124000.0,Working,Secondary / secondary special,Married,House / apartment,-17155,-6205,1,1,0,0,Waiters/barmen staff
5000192,F,Y,Y,2,103000.0,Commercial associate,Higher education,Civil marriage,Rented apartment,-8395,-1095,1,0,1,0,Waiters/barmen staff
5000193,F,N,Y,0,112000.0,Working,Secondary / secondary special,Widow,House / apartment,-17520,-8030,1,0,0,0,Waiters/barmen staff
5000194,M,Y,Y,0,165000.0,Working,Secondary / secondary special,Married,House / apartment,-13505,-365,1,1,0,0,Waiters/barmen staff
5000195,M,N,Y,0,138000.0,Working,Secondary / secondary special,Married,House / apartment,-18615,-2555,1,0,0,0,Sales staff
5000196,F,N,Y,2,99000.0,State servant,Secondary / secondary special,Married,Rented apartment,-10950,-4380,1,0,0,0,Realty agents
5000197,F,N,N,1,123000.0,State servant,Secondary / secondary special,Married,House / apartment,-15330,-8030,1,0,0,0,Waiters/barmen staff
5000198,F,N,Y,0,139000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-18250,365243,1,0,0,0,
5000199,F,Y,Y,0,46000.0,Working,Secondary / secondary special,Married,With parents,-14965,-7665,1,0,1,0,Security staff
5000200,F,N,N,0,168000.0,Working,Higher education,Separated,House / apartment,-20440,-6935,1,0,1,0,Low-skill Laborers
5000201,M,Y,Y,0,82000.0,Working,Secondary / secondary special,Married,House / apartment,-15695,-7665,1,0,1,0,Managers
5000202,M,Y,Y,0,75000.0,Working,Higher education,Married,Office apartment,-21170,-8030,1,0,0,0,Cleaning staff
5000203,F,Y,Y,1,57000.0,Working,Secondary / secondary special,Married,House / apartment,-11680,-2920,1,0,1,0,Secretaries
5000204,F,N,N,0,54000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-16425,365243,1,0,1,0,
5000205,M,N,N,1,68000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14600,365243,1,1,0,0,
5000206,M,N,Y,1,93000.0,Pensioner,Higher education,Married,House / apartment,-22630,365243,1,1,0,0,
5000207,F,N,N,1,354000.0,Working,Higher education,Married,House / apartment,-9855,-730,1,0,0,0,Secretaries
5000208,M,Y,Y,0,102000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17885,-730,1,0,1,1,Core staff
5000209,M,N,N,0,146000.0,Working,Higher education,Married,House / apartment,-17885,-365,1,0,0,0,Cleaning staff
5000210,F,N,N,0,163000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12045,0,1,0,1,0,Core staff
5000211,F,N,N,0,142000.0,Commercial associate,Incomplete higher,Married,House / apartment,-8395,-1825,1,0,0,0,Drivers
5000212,F,Y,Y,0,128000.0,Working,Higher education,Married,House / apartment,-8030,0,1,0,0,0,Low-skill Laborers
5000213,M,N,N,0,73000.0,Working,Higher education,Married,House / apartment,-13140,-4380,1,0,1,0,Laborers
5000214,F,N,N,0,275000.0,Working,Secondary / secondary special,Married,House / apartment,-18250,-6570,1,0,0,0,Accountants
5000215,M,Y,Y,0,329000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21170,-10585,1,0,0,0,Accountants
5000216,M,Y,N,0,57000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-9490,-2190,1,0,1,0,Security staff
5000217,F,N,Y,0,80000.0,Working,Secondary / secondary special,Married,Rented apartment,-23725,-5110,1,0,1,0,High skill tech staff
5000218,F,N,N,1,116000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9855,365243,1,0,0,0,
