ID,MONTHS_BALANCE,STATUS
5000025,-4,X
5000025,-3,X
5000025,-2,0
5000025,-1,C
5000025,0,X
5000026,-26,0
5000026,-25,C
5000026,-24,C
5000026,-23,1
5000026,-22,C
5000026,-21,C
5000026,-20,0
5000026,-19,0
5000026,-18,C
5000026,-17,X
5000026,-16,0
5000026,-15,0
5000026,-14,C
5000026,-13,C
5000026,-12,C
5000026,-11,0
5000026,-10,0
5000026,-9,0
5000026,-8,0
5000026,-7,X
5000026,-6,C
5000026,-5,0
5000026,-4,0
5000026,-3,X
5000026,-2,C
5000026,-1,0
5000026,0,C
5000027,-12,C
5000027,-11,C
5000027,-10,X
5000027,-9,C
5000027,-8,0
5000027,-7,C
5000027,-6,0
5000027,-5,C
5000027,-4,C
5000027,-3,X
5000027,-2,0
5000027,-1,X
5000027,0,C
5000028,-32,0
5000028,-31,X
5000028,-30,0
5000028,-29,C
5000028,-28,C
5000028,-27,X
5000028,-26,C
5000028,-25,X
5000028,-24,C
5000028,-23,C
5000028,-22,C
5000028,-21,C
5000028,-20,X
5000028,-19,C
5000028,-18,C
5000028,-17,C
5000028,-16,C
5000028,-15,C
5000028,-14,C
5000028,-13,X
5000028,-12,X
5000028,-11,X
5000028,-10,0
5000028,-9,C
5000028,-8,X
5000028,-7,0
5000028,-6,C
5000028,-5,0
5000028,-4,C
5000028,-3,C
5000028,-2,0
5000028,-1,C
5000028,0,C
5000029,-14,C
5000029,-13,X
5000029,-12,0
5000029,-11,0
5000029,-10,C
5000029,-9,1
5000029,-8,X
5000029,-7,C
5000029,-6,0
5000029,-5,0
5000029,-4,0
5000029,-3,C
5000029,-2,C
5000029,-1,0
5000029,0,X
5000030,-13,0
5000030,-12,C
5000030,-11,C
5000030,-10,C
5000030,-9,C
5000030,-8,C
5000030,-7,C
5000030,-6,0
5000030,-5,0
5000030,-4,C
5000030,-3,0
5000030,-2,C
5000030,-1,X
5000030,0,C
5000031,-27,0
5000031,-26,X
5000031,-25,C
5000031,-24,0
5000031,-23,X
5000031,-22,C
5000031,-21,0
5000031,-20,C
5000031,-19,X
5000031,-18,C
5000031,-17,C
5000031,-16,0
5000031,-15,C
5000031,-14,C
5000031,-13,0
5000031,-12,0
5000031,-11,X
5000031,-10,C
5000031,-9,C
5000031,-8,0
5000031,-7,C
5000031,-6,C
5000031,-5,X
5000031,-4,C
5000031,-3,C
5000031,-2,C
5000031,-1,C
5000031,0,C
5000032,0,0
5000033,-33,X
5000033,-32,C
5000033,-31,X
5000033,-30,C
5000033,-29,0
5000033,-28,C
5000033,-27,0
5000033,-26,C
5000033,-25,0
5000033,-24,C
5000033,-23,X
5000033,-22,C
5000033,-21,X
5000033,-20,X
5000033,-19,X
5000033,-18,X
5000033,-17,C
5000033,-16,C
5000033,-15,X
5000033,-14,C
5000033,-13,C
5000033,-12,C
5000033,-11,C
5000033,-10,X
5000033,-9,X
5000033,-8,0
5000033,-7,C
5000033,-6,0
5000033,-5,X
5000033,-4,0
5000033,-3,0
5000033,-2,X
5000033,-1,C
5000033,0,C
5000034,-14,4
5000034,-13,1
5000034,-12,2
5000034,-11,3
5000034,-10,0
5000034,-9,1
5000034,-8,0
5000034,-7,0
5000034,-6,C
5000034,-5,0
5000034,-4,1
5000034,-3,0
5000034,-2,2
5000034,-1,0
5000034,0,C
5000035,-11,X
5000035,-10,0
5000035,-9,0
5000035,-8,C
5000035,-7,C
5000035,-6,0
5000035,-5,C
5000035,-4,C
5000035,-3,C
5000035,-2,X
5000035,-1,1
5000035,0,C
5000036,-28,C
5000036,-27,0
5000036,-26,X
5000036,-25,0
5000036,-24,C
5000036,-23,C
5000036,-22,C
5000036,-21,C
5000036,-20,X
5000036,-19,X
5000036,-18,X
5000036,-17,0
5000036,-16,C
5000036,-15,C
5000036,-14,0
5000036,-13,X
5000036,-12,X
5000036,-11,C
5000036,-10,X
5000036,-9,C
5000036,-8,X
5000036,-7,1
5000036,-6,X
5000036,-5,C
5000036,-4,0
5000036,-3,C
5000036,-2,C
5000036,-1,0
5000036,0,C
5000037,-22,C
5000037,-21,X
5000037,-20,X
5000037,-19,C
5000037,-18,C
5000037,-17,C
5000037,-16,1
5000037,-15,C
5000037,-14,0
5000037,-13,0
5000037,-12,X
5000037,-11,0
5000037,-10,C
5000037,-9,X
5000037,-8,C
5000037,-7,0
5000037,-6,C
5000037,-5,0
5000037,-4,C
5000037,-3,0
5000037,-2,C
5000037,-1,X
5000037,0,C
5000038,-4,0
5000038,-3,C
5000038,-2,0
5000038,-1,X
5000038,0,0
5000039,-7,C
5000039,-6,0
5000039,-5,0
5000039,-4,C
5000039,-3,X
5000039,-2,C
5000039,-1,C
5000039,0,X
5000040,-24,C
5000040,-23,C
5000040,-22,C
5000040,-21,0
5000040,-20,0
5000040,-19,C
5000040,-18,0
5000040,-17,C
5000040,-16,0
5000040,-15,C
5000040,-14,X
5000040,-13,C
5000040,-12,C
5000040,-11,C
5000040,-10,C
5000040,-9,C
5000040,-8,C
5000040,-7,C
5000040,-6,X
5000040,-5,C
5000040,-4,X
5000040,-3,C
5000040,-2,0
5000040,-1,0
5000040,0,C
5000041,-31,C
5000041,-30,C
5000041,-29,C
5000041,-28,C
5000041,-27,0
5000041,-26,C
5000041,-25,0
5000041,-24,X
5000041,-23,0
5000041,-22,C
5000041,-21,0
5000041,-20,C
5000041,-19,X
5000041,-18,C
5000041,-17,C
5000041,-16,X
5000041,-15,X
5000041,-14,C
5000041,-13,C
5000041,-12,X
5000041,-11,C
5000041,-10,C
5000041,-9,0
5000041,-8,0
5000041,-7,0
5000041,-6,0
5000041,-5,C
5000041,-4,1
5000041,-3,C
5000041,-2,C
5000041,-1,0
5000041,0,C
5000042,-28,C
5000042,-27,X
5000042,-26,C
5000042,-25,0
5000042,-24,0
5000042,-23,0
5000042,-22,C
5000042,-21,C
5000042,-20,0
5000042,-19,X
5000042,-18,0
5000042,-17,C
5000042,-16,X
5000042,-15,X
5000042,-14,C
5000042,-13,X
5000042,-12,X
5000042,-11,C
5000042,-10,C
5000042,-9,X
5000042,-8,C
5000042,-7,0
5000042,-6,C
5000042,-5,C
5000042,-4,1
5000042,-3,0
5000042,-2,C
5000042,-1,0
5000042,0,C
5000043,-20,C
5000043,-19,0
5000043,-18,0
5000043,-17,C
5000043,-16,C
5000043,-15,0
5000043,-14,C
5000043,-13,X
5000043,-12,C
5000043,-11,C
5000043,-10,C
5000043,-9,C
5000043,-8,C
5000043,-7,X
5000043,-6,X
5000043,-5,C
5000043,-4,0
5000043,-3,C
5000043,-2,C
5000043,-1,C
5000043,0,C
5000044,-30,0
5000044,-29,C
5000044,-28,C
5000044,-27,C
5000044,-26,0
5000044,-25,C
5000044,-24,0
5000044,-23,C
5000044,-22,C
5000044,-21,1
5000044,-20,C
5000044,-19,0
5000044,-18,0
5000044,-17,0
5000044,-16,C
5000044,-15,C
5000044,-14,0
5000044,-13,X
5000044,-12,X
5000044,-11,C
5000044,-10,C
5000044,-9,X
5000044,-8,C
5000044,-7,C
5000044,-6,C
5000044,-5,C
5000044,-4,0
5000044,-3,0
5000044,-2,C
5000044,-1,C
5000044,0,X
5000045,-10,C
5000045,-9,C
5000045,-8,0
5000045,-7,0
5000045,-6,C
5000045,-5,X
5000045,-4,X
5000045,-3,X
5000045,-2,C
5000045,-1,C
5000045,0,C
5000046,-12,1
5000046,-11,C
5000046,-10,X
5000046,-9,C
5000046,-8,0
5000046,-7,C
5000046,-6,0
5000046,-5,C
5000046,-4,0
5000046,-3,C
5000046,-2,C
5000046,-1,C
5000046,0,C
5000047,-19,3
5000047,-18,5
5000047,-17,4
5000047,-16,C
5000047,-15,C
5000047,-14,C
5000047,-13,0
5000047,-12,2
5000047,-11,2
5000047,-10,C
5000047,-9,1
5000047,-8,3
5000047,-7,0
5000047,-6,C
5000047,-5,0
5000047,-4,0
5000047,-3,0
5000047,-2,0
5000047,-1,C
5000047,0,5
5000048,-33,3
5000048,-32,1
5000048,-31,0
5000048,-30,C
5000048,-29,2
5000048,-28,4
5000048,-27,0
5000048,-26,C
5000048,-25,0
5000048,-24,0
5000048,-23,0
5000048,-22,1
5000048,-21,4
5000048,-20,1
5000048,-19,0
5000048,-18,3
5000048,-17,0
5000048,-16,C
5000048,-15,0
5000048,-14,1
5000048,-13,2
5000048,-12,3
5000048,-11,0
5000048,-10,C
5000048,-9,C
5000048,-8,1
5000048,-7,1
5000048,-6,0
5000048,-5,0
5000048,-4,4
5000048,-3,3
5000048,-2,0
5000048,-1,1
5000048,0,1
5000049,-30,C
5000049,-29,C
5000049,-28,X
5000049,-27,C
5000049,-26,C
5000049,-25,X
5000049,-24,C
5000049,-23,0
5000049,-22,C
5000049,-21,C
5000049,-20,0
5000049,-19,C
5000049,-18,X
5000049,-17,C
5000049,-16,0
5000049,-15,0
5000049,-14,C
5000049,-13,X
5000049,-12,C
5000049,-11,0
5000049,-10,C
5000049,-9,0
5000049,-8,C
5000049,-7,X
5000049,-6,1
5000049,-5,0
5000049,-4,C
5000049,-3,X
5000049,-2,C
5000049,-1,C
5000049,0,C
5000050,-15,1
5000050,-14,C
5000050,-13,C
5000050,-12,C
5000050,-11,2
5000050,-10,C
5000050,-9,0
5000050,-8,1
5000050,-7,0
5000050,-6,1
5000050,-5,1
5000050,-4,C
5000050,-3,2
5000050,-2,0
5000050,-1,0
5000050,0,1
5000051,-11,0
5000051,-10,C
5000051,-9,3
5000051,-8,0
5000051,-7,1
5000051,-6,0
5000051,-5,2
5000051,-4,C
5000051,-3,0
5000051,-2,0
5000051,-1,C
5000051,0,1
5000052,-34,C
5000052,-33,0
5000052,-32,0
5000052,-31,C
5000052,-30,X
5000052,-29,C
5000052,-28,X
5000052,-27,C
5000052,-26,C
5000052,-25,X
5000052,-24,0
5000052,-23,C
5000052,-22,0
5000052,-21,X
5000052,-20,0
5000052,-19,C
5000052,-18,C
5000052,-17,0
5000052,-16,C
5000052,-15,C
5000052,-14,C
5000052,-13,0
5000052,-12,C
5000052,-11,0
5000052,-10,C
5000052,-9,C
5000052,-8,C
5000052,-7,C
5000052,-6,X
5000052,-5,X
5000052,-4,C
5000052,-3,C
5000052,-2,X
5000052,-1,0
5000052,0,0
5000053,-2,X
5000053,-1,0
5000053,0,0
5000054,-15,0
5000054,-14,0
5000054,-13,0
5000054,-12,C
5000054,-11,C
5000054,-10,X
5000054,-9,X
5000054,-8,C
5000054,-7,C
5000054,-6,X
5000054,-5,C
5000054,-4,C
5000054,-3,C
5000054,-2,0
5000054,-1,C
5000054,0,C
5000055,-2,0
5000055,-1,C
5000055,0,0
5000056,-32,0
5000056,-31,C
5000056,-30,X
5000056,-29,C
5000056,-28,C
5000056,-27,C
5000056,-26,X
5000056,-25,C
5000056,-24,C
5000056,-23,C
5000056,-22,C
5000056,-21,C
5000056,-20,C
5000056,-19,C
5000056,-18,0
5000056,-17,X
5000056,-16,C
5000056,-15,C
5000056,-14,X
5000056,-13,C
5000056,-12,C
5000056,-11,X
5000056,-10,0
5000056,-9,C
5000056,-8,C
5000056,-7,0
5000056,-6,C
5000056,-5,0
5000056,-4,C
5000056,-3,C
5000056,-2,X
5000056,-1,0
5000056,0,0
5000057,-13,X
5000057,-12,0
5000057,-11,C
5000057,-10,C
5000057,-9,0
5000057,-8,0
5000057,-7,C
5000057,-6,C
5000057,-5,1
5000057,-4,C
5000057,-3,X
5000057,-2,C
5000057,-1,0
5000057,0,C
5000058,-7,X
5000058,-6,X
5000058,-5,C
5000058,-4,0
5000058,-3,C
5000058,-2,C
5000058,-1,0
5000058,0,X
5000059,-30,0
5000059,-29,0
5000059,-28,C
5000059,-27,0
5000059,-26,X
5000059,-25,C
5000059,-24,X
5000059,-23,C
5000059,-22,0
5000059,-21,X
5000059,-20,0
5000059,-19,C
5000059,-18,X
5000059,-17,C
5000059,-16,X
5000059,-15,0
5000059,-14,0
5000059,-13,0
5000059,-12,0
5000059,-11,C
5000059,-10,C
5000059,-9,X
5000059,-8,C
5000059,-7,C
5000059,-6,X
5000059,-5,C
5000059,-4,C
5000059,-3,0
5000059,-2,C
5000059,-1,C
5000059,0,C
5000060,-30,1
5000060,-29,0
5000060,-28,3
5000060,-27,1
5000060,-26,2
5000060,-25,1
5000060,-24,0
5000060,-23,0
5000060,-22,C
5000060,-21,0
5000060,-20,1
5000060,-19,2
5000060,-18,1
5000060,-17,0
5000060,-16,C
5000060,-15,C
5000060,-14,0
5000060,-13,0
5000060,-12,1
5000060,-11,C
5000060,-10,5
5000060,-9,0
5000060,-8,2
5000060,-7,0
5000060,-6,C
5000060,-5,1
5000060,-4,1
5000060,-3,0
5000060,-2,0
5000060,-1,C
5000060,0,1
5000061,-8,C
5000061,-7,C
5000061,-6,C
5000061,-5,X
5000061,-4,0
5000061,-3,1
5000061,-2,C
5000061,-1,X
5000061,0,X
5000062,-19,1
5000062,-18,1
5000062,-17,1
5000062,-16,0
5000062,-15,C
5000062,-14,2
5000062,-13,0
5000062,-12,0
5000062,-11,C
5000062,-10,C
5000062,-9,0
5000062,-8,2
5000062,-7,3
5000062,-6,2
5000062,-5,3
5000062,-4,3
5000062,-3,0
5000062,-2,0
5000062,-1,1
5000062,0,0
5000063,-27,X
5000063,-26,C
5000063,-25,C
5000063,-24,C
5000063,-23,0
5000063,-22,X
5000063,-21,0
5000063,-20,C
5000063,-19,C
5000063,-18,X
5000063,-17,C
5000063,-16,X
5000063,-15,0
5000063,-14,0
5000063,-13,0
5000063,-12,C
5000063,-11,C
5000063,-10,X
5000063,-9,C
5000063,-8,C
5000063,-7,C
5000063,-6,C
5000063,-5,C
5000063,-4,C
5000063,-3,X
5000063,-2,X
5000063,-1,0
5000063,0,X
5000064,-1,C
5000064,0,C
5000065,-1,C
5000065,0,C
5000066,-9,C
5000066,-8,C
5000066,-7,X
5000066,-6,0
5000066,-5,C
5000066,-4,X
5000066,-3,C
5000066,-2,1
5000066,-1,0
5000066,0,X
5000067,-28,0
5000067,-27,0
5000067,-26,1
5000067,-25,5
5000067,-24,0
5000067,-23,0
5000067,-22,2
5000067,-21,2
5000067,-20,1
5000067,-19,0
5000067,-18,0
5000067,-17,1
5000067,-16,2
5000067,-15,2
5000067,-14,C
5000067,-13,0
5000067,-12,0
5000067,-11,4
5000067,-10,1
5000067,-9,0
5000067,-8,C
5000067,-7,0
5000067,-6,C
5000067,-5,2
5000067,-4,1
5000067,-3,0
5000067,-2,0
5000067,-1,2
5000067,0,0
5000068,-24,C
5000068,-23,C
5000068,-22,C
5000068,-21,0
5000068,-20,1
5000068,-19,0
5000068,-18,1
5000068,-17,0
5000068,-16,0
5000068,-15,5
5000068,-14,0
5000068,-13,0
5000068,-12,0
5000068,-11,C
5000068,-10,0
5000068,-9,0
5000068,-8,1
5000068,-7,2
5000068,-6,0
5000068,-5,C
5000068,-4,1
5000068,-3,C
5000068,-2,1
5000068,-1,1
5000068,0,C
5000069,-16,C
5000069,-15,1
5000069,-14,C
5000069,-13,C
5000069,-12,0
5000069,-11,C
5000069,-10,C
5000069,-9,X
5000069,-8,C
5000069,-7,1
5000069,-6,C
5000069,-5,X
5000069,-4,C
5000069,-3,C
5000069,-2,X
5000069,-1,X
5000069,0,0
5000070,-33,C
5000070,-32,C
5000070,-31,X
5000070,-30,0
5000070,-29,0
5000070,-28,X
5000070,-27,C
5000070,-26,C
5000070,-25,C
5000070,-24,C
5000070,-23,C
5000070,-22,C
5000070,-21,C
5000070,-20,C
5000070,-19,C
5000070,-18,X
5000070,-17,X
5000070,-16,C
5000070,-15,0
5000070,-14,C
5000070,-13,0
5000070,-12,C
5000070,-11,0
5000070,-10,C
5000070,-9,0
5000070,-8,C
5000070,-7,0
5000070,-6,C
5000070,-5,C
5000070,-4,0
5000070,-3,C
5000070,-2,0
5000070,-1,C
5000070,0,C
5000071,-16,C
5000071,-15,C
5000071,-14,C
5000071,-13,C
5000071,-12,C
5000071,-11,C
5000071,-10,X
5000071,-9,X
5000071,-8,C
5000071,-7,0
5000071,-6,0
5000071,-5,C
5000071,-4,C
5000071,-3,X
5000071,-2,0
5000071,-1,X
5000071,0,X
5000072,-26,C
5000072,-25,C
5000072,-24,C
5000072,-23,C
5000072,-22,0
5000072,-21,C
5000072,-20,C
5000072,-19,0
5000072,-18,0
5000072,-17,X
5000072,-16,C
5000072,-15,C
5000072,-14,C
5000072,-13,C
5000072,-12,C
5000072,-11,X
5000072,-10,C
5000072,-9,C
5000072,-8,C
5000072,-7,X
5000072,-6,X
5000072,-5,X
5000072,-4,C
5000072,-3,C
5000072,-2,C
5000072,-1,C
5000072,0,0
5000073,-23,C
5000073,-22,C
5000073,-21,X
5000073,-20,0
5000073,-19,X
5000073,-18,C
5000073,-17,X
5000073,-16,0
5000073,-15,C
5000073,-14,0
5000073,-13,C
5000073,-12,0
5000073,-11,C
5000073,-10,C
5000073,-9,0
5000073,-8,X
5000073,-7,C
5000073,-6,0
5000073,-5,X
5000073,-4,C
5000073,-3,X
5000073,-2,0
5000073,-1,X
5000073,0,C
5000074,-19,C
5000074,-18,X
5000074,-17,C
5000074,-16,C
5000074,-15,C
5000074,-14,C
5000074,-13,0
5000074,-12,0
5000074,-11,C
5000074,-10,C
5000074,-9,C
5000074,-8,X
5000074,-7,0
5000074,-6,C
5000074,-5,X
5000074,-4,0
5000074,-3,0
5000074,-2,C
5000074,-1,C
5000074,0,C
5000075,-33,0
5000075,-32,C
5000075,-31,0
5000075,-30,0
5000075,-29,X
5000075,-28,0
5000075,-27,C
5000075,-26,C
5000075,-25,0
5000075,-24,C
5000075,-23,C
5000075,-22,X
5000075,-21,0
5000075,-20,X
5000075,-19,C
5000075,-18,C
5000075,-17,0
5000075,-16,C
5000075,-15,C
5000075,-14,C
5000075,-13,X
5000075,-12,C
5000075,-11,C
5000075,-10,C
5000075,-9,C
5000075,-8,C
5000075,-7,X
5000075,-6,X
5000075,-5,C
5000075,-4,C
5000075,-3,C
5000075,-2,C
5000075,-1,C
5000075,0,C
5000076,-8,C
5000076,-7,C
5000076,-6,C
5000076,-5,1
5000076,-4,X
5000076,-3,C
5000076,-2,X
5000076,-1,C
5000076,0,0
5000077,-4,0
5000077,-3,0
5000077,-2,C
5000077,-1,1
5000077,0,0
5000078,-25,C
5000078,-24,X
5000078,-23,C
5000078,-22,X
5000078,-21,0
5000078,-20,0
5000078,-19,C
5000078,-18,C
5000078,-17,C
5000078,-16,C
5000078,-15,C
5000078,-14,C
5000078,-13,C
5000078,-12,C
5000078,-11,C
5000078,-10,X
5000078,-9,X
5000078,-8,C
5000078,-7,0
5000078,-6,0
5000078,-5,C
5000078,-4,C
5000078,-3,X
5000078,-2,C
5000078,-1,C
5000078,0,1
5000079,-17,C
5000079,-16,C
5000079,-15,C
5000079,-14,0
5000079,-13,C
5000079,-12,C
5000079,-11,C
5000079,-10,0
5000079,-9,0
5000079,-8,0
5000079,-7,C
5000079,-6,0
5000079,-5,C
5000079,-4,C
5000079,-3,X
5000079,-2,0
5000079,-1,0
5000079,0,0
5000080,-23,C
5000080,-22,0
5000080,-21,C
5000080,-20,0
5000080,-19,C
5000080,-18,C
5000080,-17,C
5000080,-16,C
5000080,-15,0
5000080,-14,C
5000080,-13,C
5000080,-12,C
5000080,-11,C
5000080,-10,C
5000080,-9,C
5000080,-8,0
5000080,-7,C
5000080,-6,C
5000080,-5,X
5000080,-4,C
5000080,-3,C
5000080,-2,X
5000080,-1,C
5000080,0,X
5000081,-12,0
5000081,-11,C
5000081,-10,C
5000081,-9,C
5000081,-8,C
5000081,-7,0
5000081,-6,0
5000081,-5,C
5000081,-4,X
5000081,-3,C
5000081,-2,X
5000081,-1,0
5000081,0,X
5000082,-29,C
5000082,-28,0
5000082,-27,C
5000082,-26,C
5000082,-25,X
5000082,-24,C
5000082,-23,X
5000082,-22,C
5000082,-21,C
5000082,-20,C
5000082,-19,0
5000082,-18,C
5000082,-17,C
5000082,-16,C
5000082,-15,X
5000082,-14,0
5000082,-13,C
5000082,-12,C
5000082,-11,0
5000082,-10,0
5000082,-9,X
5000082,-8,C
5000082,-7,C
5000082,-6,0
5000082,-5,X
5000082,-4,X
5000082,-3,C
5000082,-2,X
5000082,-1,0
5000082,0,0
5000083,-31,X
5000083,-30,0
5000083,-29,0
5000083,-28,0
5000083,-27,0
5000083,-26,C
5000083,-25,0
5000083,-24,X
5000083,-23,C
5000083,-22,C
5000083,-21,C
5000083,-20,0
5000083,-19,C
5000083,-18,0
5000083,-17,X
5000083,-16,X
5000083,-15,C
5000083,-14,C
5000083,-13,C
5000083,-12,C
5000083,-11,0
5000083,-10,X
5000083,-9,C
5000083,-8,0
5000083,-7,C
5000083,-6,C
5000083,-5,X
5000083,-4,C
5000083,-3,X
5000083,-2,X
5000083,-1,X
5000083,0,C
5000084,-4,0
5000084,-3,C
5000084,-2,C
5000084,-1,0
5000084,0,0
5000085,-33,0
5000085,-32,X
5000085,-31,C
5000085,-30,C
5000085,-29,0
5000085,-28,C
5000085,-27,0
